timestamp,simulation_time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,attitude_roll,attitude_pitch,attitude_yaw,angular_velocity_x,angular_velocity_y,angular_velocity_z,acceleration_x,acceleration_y,acceleration_z,motor_speed_1,motor_speed_2,motor_speed_3,motor_speed_4,control_throttle,control_roll,control_pitch,control_yaw,estimated_position_x,estimated_position_y,estimated_position_z,estimated_velocity_x,estimated_velocity_y,estimated_velocity_z,estimated_attitude_roll,estimated_attitude_pitch,estimated_attitude_yaw,sensor_accel_x,sensor_accel_y,sensor_accel_z,sensor_gyro_x,sensor_gyro_y,sensor_gyro_z,sensor_gps_x,sensor_gps_y,sensor_gps_z,sensor_gps_vx,sensor_gps_vy,sensor_gps_vz,sensor_baro_altitude,sensor_mag_x,sensor_mag_y,sensor_mag_z,flight_mode,battery_level,gps_fix,waypoint_index,mission_complete,setpoint_altitude,setpoint_position_x,setpoint_position_y,setpoint_position_z,position_error,attitude_error
1760882708.4713583,5.843087673187256,-4.132505350185964e-07,1.5013580985598657e-08,60.483702962526415,-2.447199259082455e-07,1.153095743006459e-08,12.128618841413305,0.0006599290331792846,0.01370897223429723,-2.639214967813788e-05,,,,,,,,,,,0.0,0.020750506233543423,1.0,-0.1769737974444741,-0.2550324906039261,0.18380356472110104,60.6188869158406,0.06313501081142825,-0.054683977423100306,12.137825328214253,-0.0015623217112223464,0.0015875458115780928,0.10758253340995194,,,,,,,,,,,,,,,,,auto,85.0,True,0,False,-10,15.0,0.0,-10.0,72.24802412019353,0.10760558835737409
1760882708.5794582,5.951187610626221,-4.4025625168258765e-07,1.6288189024981742e-08,61.79482292364017,-2.556107491696315e-07,1.208682225030495e-08,12.128924836213915,0.0006922088814498476,0.014222455514023546,-2.7682945791982536e-05,,,,,,,,,,,0.0,-0.13561302029062444,1.0,-0.0801578724297929,-0.09987685787748218,-0.3851557424219193,61.64306154963938,0.029922363489001624,-0.08260293058762981,12.106110592085159,0.0010501262434447637,0.0010803310105493265,0.05592490014465494,,,,,,,,,,,,,,,,,auto,85.0,True,0,False,-10,15.0,0.0,-10.0,73.2180503310106,0.05594519046718093
1760882708.6893055,6.061034917831421,-4.687242285553406e-07,1.7636949154275198e-08,63.12039186326447,-2.659414643477162e-07,1.2625016386518024e-08,12.129184397530555,0.0007213088805007652,0.014751122834961343,-2.8846517974155116e-05,,,,,,,,,,,0.0,-0.1800145171399494,1.0,-0.05055096768940827,-0.13233682009965328,-0.6004779135213384,62.81307698492491,-0.009514882261129717,0.0095946279552038,12.13262800938881,-0.0030428258115360067,0.0012060885404354968,0.03176141673772895,,,,,,,,,,,,,,,,,auto,85.0,True,0,False,-10,15.0,0.0,-10.0,74.37131417000894,0.031929626237624645
1760882708.7976973,6.169426679611206,-4.98230080330925e-07,1.9040285178913828e-08,64.44188323520635,-2.7555234896897874e-07,1.3128780832973207e-08,12.129401356848014,0.0007485149950977731,0.015287512249867219,-2.9934312510257125e-05,,,,,,,,,,,0.0,0.005291145468810786,1.0,-0.016588415760286093,0.47301561668606223,-0.13865458590896154,64.23644648767892,0.027761651078301797,0.02053575513871613,12.153044722770963,-0.004922596885521964,-0.0032606720735004115,0.02097047325914568,,,,,,,,,,,,,,,,,auto,85.0,True,0,False,-10,15.0,0.0,-10.0,75.64458002715897,0.02178588284143656
1760882708.905371,6.277100324630737,-5.284430804710742e-07,2.0482268342237307e-08,65.74791005954482,-2.8590750439826393e-07,1.3668654999769495e-08,12.129581282319828,0.0007767192875516051,0.015826574484137265,-3.1062015841345497e-05,,,,,,,,,,,0.0,0.23109751516155286,1.0,0.21606555993831061,0.3419328639205955,0.5802303560764717,65.05228492141102,0.06392375276111616,0.014404460658736636,12.171208332173299,-0.00033593945217476307,0.0021044684609927357,-0.10831972539707477,,,,,,,,,,,,,,,,,auto,85.0,True,0,False,-10,15.0,0.0,-10.0,76.47248571451424,0.10834068743051488
1760882709.0118835,6.383612871170044,-5.594755401017032e-07,2.1968414867694958e-08,67.03987084905332,-2.9722881108445786e-07,1.425939362955874e-08,12.129730911738497,0.0008075451963668346,0.016368784596254463,-3.2294563570028236e-05,,,,,,,,,,,0.0,0.3056521193843298,1.0,0.20655374738924512,-0.6451683339996812,0.850368740522362,66.447812363475,0.053282616711102196,-0.037696470941418224,12.176736539745754,-0.0011981673119649732,0.004821208279591345,-0.10437279798254112,,,,,,,,,,,,,,,,,auto,85.0,True,0,False,-10,15.0,0.0,-10.0,78.03692993932503,0.10449095947921523
1760882709.119215,6.4909443855285645,-5.920660167572767e-07,2.353505405297091e-08,68.34178023651582,-3.099296337109956e-07,1.4929273831532484e-08,12.129857691456397,0.0008431496584477739,0.01692450621378398,-3.371822047425203e-05,,,,,,,,,,,0.0,0.13889335789964022,1.0,-0.03683190215338796,-0.18749268710601305,0.5749524708412275,68.27759163146685,0.04976751417470049,-0.009258151194473178,12.172307300913605,0.0010960540810537028,0.0064610053096231385,0.02590032349499946,,,,,,,,,,,,,,,,,auto,85.0,True,0,False,-10,15.0,0.0,-10.0,79.73939964714629,0.026716524498991142
1760882709.227842,6.599571466445923,-6.263487504662933e-07,2.5190348789844503e-08,69.65941729840115,-3.2085586224212214e-07,1.553012162060119e-08,12.129965563893455,0.0008833593268702166,0.017496327865504088,-3.532604475292697e-05,,,,,,,,,,,0.0,0.06252650918022531,1.0,0.05499198412702282,0.5099003617552327,0.3944511621201721,69.30050819600046,0.05539780520685259,-0.035017308597817355,12.141849943330879,0.0018803011863520692,0.007533164063047642,-0.022520304925569723,,,,,,,,,,,,,,,,,auto,85.0,True,0,False,-10,15.0,0.0,-10.0,80.61444770876679,0.02382117182870795
1760882709.337844,6.709573268890381,-6.621104357836652e-07,2.6926354842377978e-08,70.98761234372958,-3.3208884624178386e-07,1.6169563476632075e-08,12.130056723595606,0.0009260943899168736,0.018081953704416,-3.703484167656571e-05,,,,,,,,,,,0.0,0.0017091994822848733,1.0,0.14502343444319826,1.0035314390297556,0.16016393398039955,70.63353559402243,0.024906693201301545,-0.040373583727893965,12.129650040481252,0.0015239845002786626,0.00965069795421308,-0.05542232956674634,,,,,,,,,,,,,,,,,auto,85.0,True,0,False,-10,15.0,0.0,-10.0,81.8394394351309,0.05627693234679363
1760882709.4450288,6.816758155822754,-6.982668581158898e-07,2.869260004078589e-08,72.28776655751454,-3.426931449381885e-07,1.6797422747679328e-08,12.130131647529193,0.0009687224101183749,0.01866406590232139,-3.87393301349995e-05,,,,,,,,,,,0.0,0.017462273148478837,1.0,0.24105749066683924,1.0065855002420716,0.15587150093118957,71.90612718692864,0.03138381898223873,-0.04010891118745362,12.128746313535832,0.0036358503633116598,0.014602858781369696,-0.10951888183964151,,,,,,,,,,,,,,,,,auto,85.0,True,0,False,-10,15.0,0.0,-10.0,83.09304192318494,0.11054794603183896
1760882709.552068,6.923797369003296,-7.357309563671247e-07,3.0535752076947335e-08,73.59230672770248,-3.5407518415725834e-07,1.7485326609484396e-08,12.130194820564176,0.0010118987105339043,0.019256950636009528,-4.0465707399643284e-05,,,,,,,,,,,0.0,0.044376536378935204,1.0,0.06270153120266904,1.010211037985206,0.151627355965896,73.53432841032955,0.034609727166508,-0.039488695018801374,12.129760347706974,-0.0005084695760869329,0.017049518889546828,-0.015497422134855554,,,,,,,,,,,,,,,,,auto,85.0,True,0,False,-10,15.0,0.0,-10.0,84.69782292964548,0.023045926505582955
